Company,Group,Prev Close (Rs),Current Price (Rs),% Change
Indian Terrain Fashi,B,55.38,58.50,+ 5.63
Wagend Infra Venture,X,0.71,0.75,+ 5.63
Gujarat Gas,A,463.00,489.00,+ 5.62
Linc L,B,620.95,655.70,+ 5.60
Bengal & Assam Compa,A,"3,649.95","3,850.00",+ 5.48
SAB Industries,X,73.01,76.98,+ 5.44
Kuberan Global Edu,MS,15.80,16.65,+ 5.38
Just Dial,A,669.35,705.30,+ 5.37
Kamanwala Housing Co,X,8.40,8.85,+ 5.36
Ecoplast L,X,84.00,88.50,+ 5.36
Gillanders Arbut,B,70.57,74.33,+ 5.33
Vodafone Idea L,A,6.76,7.12,+ 5.33
PPAP Automotive,B,192.75,203.00,+ 5.32
Quess Corp,A,368.45,388.05,+ 5.32
Shree Pacetronix,X,132.00,139.00,+ 5.30
Ladderup Finance,X,18.37,19.34,+ 5.28
Kirloskar Oil Engine,A,388.50,409.00,+ 5.28
Ram Info,X,102.60,108.00,+ 5.26
SBL Infratech,M,68.60,72.20,+ 5.25
Mayur Uniquoters,B,487.85,513.35,+ 5.23
P H Capital Ltd.,X,65.73,69.15,+ 5.20
Greaves Cotton,A,153.80,161.80,+ 5.20
Shree Precoated Stee,X,17.68,18.60,+ 5.20
Gyscoal Alloys Ltd.,B,2.70,2.84,+ 5.19
KEI Industries,A,"1,974.90","2,077.20",+ 5.18
Tierra Agrotech,X,129.45,136.15,+ 5.18
Martin Burn Ltd.,X,39.55,41.56,+ 5.08
Tasty Bite,B,"9,114.25","9,575.00",+ 5.06
Bright Outdoor Media,M,154.00,161.75,+ 5.03
Kirloskar Elect,B,112.25,117.88,+ 5.02
Rungta Irrigatio,XT,74.07,77.77,+ 5.00
Asso. Ceramics,XT,30.81,32.35,+ 5.00
Sarup Industries,XT,22.00,23.10,+ 5.00
Macfos,M,316.15,331.95,+ 5.00
SVP Housing,M,58.44,61.36,+ 5.00
Sanblue Corporation,X,25.00,26.25,+ 5.00
Standard Capital,XT,80.08,84.08,+ 5.00
Shah Foods Ltd.,X,45.20,47.46,+ 5.00
Remedium Lifecare,XT,"2,134.80","2,241.50",+ 5.00
Orchid Pharma,T,395.00,414.75,+ 5.00
Simplex Mills Co Ltd,X,23.00,24.15,+ 5.00
Kakatiya Textile,XT,39.81,41.80,+ 5.00
Retina Paints,MT,30.00,31.50,+ 5.00
Integrated Tech,XT,69.63,73.11,+ 5.00
Inter Globe Fin.,X,18.20,19.11,+ 5.00
K&R Rail Engineering,XT,492.45,517.05,+ 5.00
Suchitra Fin & Trade,X,45.64,47.92,+ 5.00
Naturite Agro Pr,X,95.44,100.21,+ 5.00
Madhuveer Com 18 Net,XT,27.60,28.98,+ 5.00
SKM Egg Produc,B,146.00,153.30,+ 5.00
Som Datt Finance,XT,147.10,154.45,+ 5.00
Kapil Cotex,XT,94.68,99.41,+ 5.00
Deccan Bearings,XT,46.00,48.30,+ 5.00
Pankaj Piyush Trade,XT,68.00,71.40,+ 5.00
Relic Technologi,X,17.40,18.27,+ 5.00
Electrosteel Cas,B,43.79,45.98,+ 5.00
Sudev Industries,XT,26.80,28.14,+ 5.00
Roselabs Finance,X,29.40,30.87,+ 5.00
Suryalata Spg.,X,"1,249.20","1,311.65",+ 5.00
ABC Gas (Internation,XT,35.20,36.96,+ 5.00
Nikhil Adhesives,X,134.35,141.05,+ 4.99
GI Engineering Solut,T,28.07,29.47,+ 4.99
National Oxygen,X,84.59,88.81,+ 4.99
Sprayking Agro Equip,M,102.60,107.72,+ 4.99
Edvenswa Enterprises,X,42.85,44.99,+ 4.99
Chemtech Industrial,X,29.67,31.15,+ 4.99
Arman Holdings Ltd.,X,63.72,66.90,+ 4.99
Global Offshore Ser,X,33.69,35.37,+ 4.99
Last Mile Enterprise,XT,78.92,82.86,+ 4.99
Hemadri Cements,XT,15.82,16.61,+ 4.99
Kamdhenu Ispat,B,342.85,359.95,+ 4.99
Canopy Finance,X,90.99,95.53,+ 4.99
Leading Leasing Fin,X,4.21,4.42,+ 4.99
Khandelwal Extra,XT,37.67,39.55,+ 4.99
Dutron Polymers,XT,122.15,128.25,+ 4.99
Mediaone Global Ente,X,43.30,45.46,+ 4.99
Kesar Terminals & In,X,38.47,40.39,+ 4.99
Soma Textiles,T,19.62,20.60,+ 4.99
Andhra Cement,T,57.68,60.56,+ 4.99
Magnum Ventures Ltd.,B,34.04,35.74,+ 4.99
Quest Softech (India,X,64.09,67.29,+ 4.99
Delphi World Money,B,335.65,352.40,+ 4.99
SPS Finquest,T,87.96,92.35,+ 4.99
Rap Media,XT,26.86,28.20,+ 4.99
Inani Securities,XT,19.45,20.42,+ 4.99
Padmanabh Alloys,XT,29.66,31.14,+ 4.99
Titaanium Ten Enterp,M,25.46,26.73,+ 4.99
Archidply Decor,T,71.31,74.87,+ 4.99
Amit Internation,Z,4.01,4.21,+ 4.99
Kamadgiri Fashion,X,66.67,70.00,+ 4.99
Batliboi Ltd.,X,93.14,97.79,+ 4.99
Waaree Technologies,M,301.50,316.55,+ 4.99
RMC Switchgears,M,340.80,357.80,+ 4.99
Swarna Securitie,X,86.10,90.40,+ 4.99
Shamrock Industr,XT,4.41,4.63,+ 4.99
Prime Industries,Z,43.06,45.21,+ 4.99
Titan Intech,XT,51.71,54.29,+ 4.99
Pentokey Organy,X,49.86,52.35,+ 4.99
Cindrella Hotels,X,46.50,48.82,+ 4.99
Brightcom Group,A,13.02,13.67,+ 4.99
Coromandel Engg.,X,37.89,39.78,+ 4.99
Marg Techno Projects,X,16.46,17.28,+ 4.98
Phaarmasia Ltd.,XT,24.28,25.49,+ 4.98
Sanchay Finvest,XT,5.02,5.27,+ 4.98
Ritesh Internati,XT,54.99,57.73,+ 4.98
The Phosphate Co.,X,130.50,137.00,+ 4.98
Spenta International,X,138.50,145.40,+ 4.98
Binani Industrie,B,23.29,24.45,+ 4.98
Vikalp Securitie,XT,12.65,13.28,+ 4.98
Lorenzini Apparels,B,171.60,180.15,+ 4.98
Vantage Knowledge,XT,162.65,170.75,+ 4.98
SVJ Enterprises,M,39.58,41.55,+ 4.98
S & T Corporation Lt,XT,41.74,43.82,+ 4.98
Mega Nirman & Indust,X,15.05,15.80,+ 4.98
Spice Islands Ap,X,21.87,22.96,+ 4.98
IB Infotech,XT,186.90,196.20,+ 4.98
Khandwala Securi,B,33.92,35.61,+ 4.98
Mehta Housing Fi,XT,128.75,135.15,+ 4.97
Vapi Enterprise,XT,72.50,76.10,+ 4.97
SC Agrotech Ltd.,XT,9.45,9.92,+ 4.97
Trivikrama Indus,MT,20.94,21.98,+ 4.97
Simplex Realty,X,70.69,74.20,+ 4.97
Pooja Entertainment,XT,161.00,169.00,+ 4.97
Adinath Exim Res,XT,15.70,16.48,+ 4.97
Enbee Trade & Fi,XT,16.72,17.55,+ 4.96
Available Finance Lt,X,157.15,164.95,+ 4.96
Alfa Transformer,X,26.79,28.12,+ 4.96
Adjia Technologies,MS,33.90,35.58,+ 4.96
Raama Paper Mills,XT,17.35,18.21,+ 4.96
Captain Pipes Ltd.,M,23.59,24.76,+ 4.96
Super Bakers (India),X,19.95,20.94,+ 4.96
Hybrid Financial Ser,B,10.68,11.21,+ 4.96
India Finsec Ltd.,X,21.18,22.23,+ 4.96
SBI Cards and Pay,A,824.20,865.00,+ 4.95
RLF Ltd.,XT,6.66,6.99,+ 4.95
Vitesse Agro L,Z,19.18,20.13,+ 4.95
ATV Projects,XT,7.68,8.06,+ 4.95
Mena Mani Industries,X,14.33,15.04,+ 4.95
Virgo Global,X,11.94,12.53,+ 4.94
Santosh Fine - F,XT,12.76,13.39,+ 4.94
Wires and Fabriks (S,X,138.55,145.40,+ 4.94
Jayabharat Credi,X,4.66,4.89,+ 4.94
Heera Ispat Ltd.,Z,7.70,8.08,+ 4.94
Evexia Lifecare,XT,2.84,2.98,+ 4.93
Eveready Industr,A,314.60,330.10,+ 4.93
Polo Hotels,XT,11.16,11.71,+ 4.93
Mahesh Developers,X,12.16,12.76,+ 4.93
Goldstone Tech,B,58.80,61.70,+ 4.93
Uniroyal Marine,XT,11.36,11.92,+ 4.93
JMJ Fintech,XT,15.63,16.40,+ 4.93
Galada Finance,XT,8.52,8.94,+ 4.93
Bartronics India Ltd,Z,7.91,8.30,+ 4.93
Shukra Jewellery,P,4.46,4.68,+ 4.93
Sunraj Diamonds,Z,6.10,6.40,+ 4.92
Hemo Organic,X,9.76,10.24,+ 4.92
Duke Offshore Lt,X,6.91,7.25,+ 4.92
J D Orgochem,X,5.90,6.19,+ 4.92
Ironwood Education,XT,27.83,29.20,+ 4.92
