Company,Group,Prev Close (Rs),Current Price (Rs),% Change
Contil India,X,87.00,90.00,+ 3.45
Chowgule Steam.,XT,14.50,15.00,+ 3.45
Garware Marine,X,8.69,8.99,+ 3.45
Ramchandra Leasing,X,0.87,0.90,+ 3.45
Shilp Gravures L,X,98.02,101.40,+ 3.45
Axel Polymers Li,XT,42.99,44.47,+ 3.44
Trishakti Electr,X,67.24,69.55,+ 3.44
TVS Srichakra Lt,B,"3,052.05","3,157.15",+ 3.44
Shubham Polyspin,B,22.50,23.27,+ 3.42
Ceeta Industries,XT,20.79,21.50,+ 3.42
Zenith Healthcare,XT,4.12,4.26,+ 3.40
ANG Lifesciences Ind,B,80.95,83.70,+ 3.40
GP Petroleums,B,36.49,37.73,+ 3.40
Walchand Peoplefirst,X,115.00,118.90,+ 3.39
Apollo Finvest,X,558.10,577.00,+ 3.39
Jost's Engg.,X,251.45,259.95,+ 3.38
ZF Steering Gear,X,618.25,639.00,+ 3.36
Retro Green Revoluti,X,8.39,8.67,+ 3.34
Mac Charles,X,451.00,466.00,+ 3.33
HLV L,B,11.14,11.51,+ 3.32
Tuticorin Alk.,X,53.14,54.90,+ 3.31
Inspirisys Solutions,B,52.95,54.70,+ 3.31
Glenmark Life Scienc,A,523.70,541.00,+ 3.30
Supremex Shine Steel,XT,8.23,8.50,+ 3.28
KDDL Ltd.,B,"1,121.40","1,158.20",+ 3.28
Sandhar Technologies,B,233.30,240.90,+ 3.26
SVS Ventures,M,7.08,7.31,+ 3.25
Polyspin Exports,X,55.21,57.00,+ 3.24
Odyssey Corporation,X,6.78,7.00,+ 3.24
Cosyn L,X,26.00,26.84,+ 3.23
Sadbhav Engineering,B,10.85,11.20,+ 3.23
Royale Manor Hot,XT,37.29,38.49,+ 3.22
Tai Industries L,X,42.52,43.89,+ 3.22
Kachchh Minerals Ltd,X,24.21,24.99,+ 3.22
Asian Paints Ltd.,A,"3,040.65","3,138.60",+ 3.22
Croissance,X,7.17,7.40,+ 3.21
Sagarsoft (India),X,149.90,154.70,+ 3.20
Lloyds Metals & Ener,A,312.10,322.00,+ 3.17
Guj. Mineral Dev,A,153.35,158.20,+ 3.16
Indokem Ltd.,X,122.00,125.85,+ 3.16
Adani Transmission L,A,889.00,917.00,+ 3.15
Droneacharya Aerial,M,147.05,151.65,+ 3.13
Triveni Turbine,A,393.10,405.35,+ 3.12
Innovassynth Investm,X,23.75,24.49,+ 3.12
Ashoka Metcast,M,16.01,16.51,+ 3.12
Porwal Auto Comp,X,26.00,26.81,+ 3.12
Sayaji Industries,X,161.00,166.00,+ 3.11
Inani Marbles &,X,20.60,21.24,+ 3.11
Virat Crane Indu,X,30.97,31.93,+ 3.10
CIL Nova Petrochemic,X,20.37,21.00,+ 3.09
Primo Chemicals,A,70.27,72.44,+ 3.09
Mahaan Foods Lim,XT,24.25,25.00,+ 3.09
Punj. Communica,B,29.10,29.99,+ 3.06
Welspun India,A,89.50,92.24,+ 3.06
Quadrant Televenture,XT,0.98,1.01,+ 3.06
Swarnsarita Jewels,X,18.42,18.98,+ 3.04
Orissa Bengal Carrie,B,56.29,58.00,+ 3.04
Saumya Consultants,X,75.70,78.00,+ 3.04
Pearl Global Industr,B,439.50,452.85,+ 3.04
John Cockerill India,X,"1,832.15","1,887.70",+ 3.03
Rajoo Engineers,X,35.62,36.70,+ 3.03
Sonal Adhesives,X,86.18,88.79,+ 3.03
Sharda Cropchem,A,473.30,487.60,+ 3.02
Picturehouse Media,X,6.98,7.19,+ 3.01
Vikas WSP,Z,1.33,1.37,+ 3.01
Concord Drugs,X,29.03,29.90,+ 3.00
Delton Cables,X,69.91,72.00,+ 2.99
Kemistar Corporation,X,38.54,39.69,+ 2.98
Insecticides (India),B,454.75,468.30,+ 2.98
Shri Vasuprada Plant,X,73.31,75.49,+ 2.97
Octavius Plantations,X,43.70,45.00,+ 2.97
Oswal Green Tech,B,21.61,22.25,+ 2.96
Indoco Remedies,B,332.65,342.50,+ 2.96
Shri Dinesh Mill,X,500.20,515.00,+ 2.96
Vivid Global Industr,X,22.00,22.65,+ 2.95
Kopran Ltd,B,149.25,153.65,+ 2.95
S P Apparels Ltd.,B,372.40,383.35,+ 2.94
Satra Properties ( I,Z,0.68,0.70,+ 2.94
Garbi Finvest,XT,28.65,29.49,+ 2.93
Indian Railway Fin,A,32.74,33.70,+ 2.93
Sagar Cements,B,202.10,208.00,+ 2.92
Rolex Rings,A,"1,856.25","1,910.40",+ 2.92
Intl. Data Mangt,XT,18.50,19.04,+ 2.92
Orient Beverages,X,111.55,114.80,+ 2.91
Agro Tech Foods Ltd.,B,759.40,781.50,+ 2.91
Narbada Gems & Jewel,X,61.71,63.50,+ 2.90
Seven Hill Industrie,X,0.69,0.71,+ 2.90
Aarti Surfactants,B,633.20,651.50,+ 2.89
IOL Chemicals and Ph,A,402.30,413.90,+ 2.88
Jindal Saw,A,168.80,173.65,+ 2.87
Pasari Spinning,X,7.31,7.52,+ 2.87
Incap Ltd.,XT,35.56,36.58,+ 2.87
Ganga Papers India L,X,78.58,80.82,+ 2.85
Dhanlaxmi Fabric,XT,38.60,39.70,+ 2.85
Hubtown,B,40.05,41.19,+ 2.85
Conart Engineers,X,39.07,40.18,+ 2.84
Sandur M & I Ore,A,"1,169.25","1,202.50",+ 2.84
Hind. Adhesives,X,222.70,228.95,+ 2.81
VCK Capital Ma,XT,31.00,31.87,+ 2.81
Ad-Manum Finance,X,51.88,53.34,+ 2.81
Punjab Chemicals and,B,777.90,799.60,+ 2.79
GujaratStatePetronet,A,280.95,288.75,+ 2.78
Viaan Industries,Z,0.72,0.74,+ 2.78
Bemco Hydraulics,X,515.65,529.95,+ 2.77
W H Brady & Co.,X,253.00,260.00,+ 2.77
FAZE THREE Autofab,X,78.33,80.49,+ 2.76
Universal Autofoundr,B,145.00,149.00,+ 2.76
Hindustan Unilever L,A,"2,522.10","2,591.80",+ 2.76
AksharChem (India),B,232.50,238.90,+ 2.75
Ishita Drugs & I,X,50.85,52.25,+ 2.75
United Breweries Ltd,A,"1,384.35","1,422.45",+ 2.75
Capacit'e Infraproje,B,147.95,152.00,+ 2.74
Wockhardt Ltd.,A,171.40,176.10,+ 2.74
Ascensive Educare,MS,33.75,34.67,+ 2.73
Indo Rama Synth.,B,45.08,46.31,+ 2.73
Madhav Infra Project,X,4.03,4.14,+ 2.73
BCL Industries,B,429.00,440.70,+ 2.73
La Opala RG Ltd.,A,371.25,381.35,+ 2.72
Mangalam Seeds,T,195.20,200.50,+ 2.72
Veranda Learning Sol,B,197.45,202.80,+ 2.71
HB Portfolio,X,37.27,38.28,+ 2.71
Nivaka Fashions,X,2.95,3.03,+ 2.71
BLS International Se,A,188.85,193.95,+ 2.70
Avantel Ltd.,X,490.95,504.20,+ 2.70
Vidhi Specialty Food,B,368.60,378.55,+ 2.70
Gabriel India,B,168.00,172.50,+ 2.68
Delta Corp Ltd.,A,204.95,210.45,+ 2.68
Sterling Greenwoods,X,33.99,34.90,+ 2.68
HUDCO,A,54.39,55.85,+ 2.68
RPP Infra Projects L,B,43.12,44.27,+ 2.67
Colinz Laborator,XT,40.67,41.75,+ 2.66
Menon Pistons Li,X,45.66,46.87,+ 2.65
Modern Shares & Stoc,X,18.50,18.99,+ 2.65
Gravita India Ltd.,A,562.25,577.15,+ 2.65
Halder Venture,X,266.95,274.00,+ 2.64
Heads UP Ventures,B,12.90,13.24,+ 2.64
Welspun Enterprises,B,141.90,145.65,+ 2.64
Elnet Technologi,X,180.15,184.90,+ 2.64
Candour Techtex,X,33.50,34.38,+ 2.63
Lumax Inds.,B,"1,949.95","2,001.00",+ 2.62
GE Power India,B,135.55,139.10,+ 2.62
Apoorva Leasing Fina,X,23.00,23.60,+ 2.61
JK Cement,A,"2,991.05","3,069.15",+ 2.61
Kimia Biosciences,X,36.94,37.90,+ 2.60
ITI,A,104.44,107.16,+ 2.60
Himachal Fibres,X,5.39,5.53,+ 2.60
Ashnoor Textile,XT,31.72,32.54,+ 2.59
Sri Rama. Mills (Coi,XT,19.01,19.50,+ 2.58
Gita Renew. Energy,X,77.51,79.50,+ 2.57
Jubilant Pharmova,A,342.20,351.00,+ 2.57
Adani Ports & Speci,A,691.05,708.80,+ 2.57
AYM Syntex,B,76.49,78.45,+ 2.56
Real Touch Finance,Z,39.00,40.00,+ 2.56
Amin Tannery L,X,1.95,2.00,+ 2.56
Loyal Equipments Ltd,B,67.77,69.50,+ 2.55
B&A Packaging India,XT,190.15,195.00,+ 2.55
Premco Global Li,X,345.00,353.75,+ 2.54
Siemens Ltd.,A,"3,712.60","3,806.60",+ 2.53
Jubilant Industries,B,428.45,439.30,+ 2.53
GRP L,T,"3,500.75","3,589.35",+ 2.53
Citadel Realty & Dev,X,19.02,19.50,+ 2.52
Suraj Industries,X,111.15,113.95,+ 2.52
Smiths & Founders,X,3.17,3.25,+ 2.52
Harrisons Malaya,B,147.00,150.70,+ 2.52
AGS Transact Tech,B,53.07,54.40,+ 2.51
Keltech Energies,X,"1,199.90","1,230.00",+ 2.51
Sri Lakshmi Sara,X,30.23,30.99,+ 2.51
Camlin Fine Sciences,B,167.20,171.40,+ 2.51
Bihar Sponge,XT,8.77,8.99,+ 2.51
Sylph Technologies L,XT,31.02,31.80,+ 2.51
Sturdy Industries,XT,0.40,0.41,+ 2.50
NHC Foods,X,38.03,38.98,+ 2.50
Satchmo Holdings,X,2.80,2.87,+ 2.50
Mukesh Babu Fina,X,85.71,87.84,+ 2.49
Rajasthan Gases,X,9.27,9.50,+ 2.48
Adarsh Plant Pro,XT,18.98,19.45,+ 2.48
N G Industries Ltd.,X,80.00,81.98,+ 2.48
HB Estate Devlpr,X,31.06,31.83,+ 2.48
Haryana Capfin Ltd.,X,58.55,60.00,+ 2.48
Goenka Business,XT,6.88,7.05,+ 2.47
Zodiac Ventures,X,22.32,22.87,+ 2.46
Varroc Engineering,A,292.90,300.10,+ 2.46
Pratiksha Chemic,X,22.89,23.45,+ 2.45
Transchem L,X,20.01,20.50,+ 2.45
RSD Finance,X,81.02,83.00,+ 2.44
Black Box,B,144.00,147.50,+ 2.43
Global Health,B,508.75,521.00,+ 2.41
SKF India,A,"4,237.85","4,340.00",+ 2.41
ISMT Ltd.,B,74.85,76.65,+ 2.40
Cochin Malabar,X,62.50,64.00,+ 2.40
Poojawestern Metalik,B,32.19,32.96,+ 2.39
Ingersoll Rand,A,"2,463.20","2,522.00",+ 2.39
SE Power,B,13.41,13.73,+ 2.39
Shree Hari Chem.,X,43.95,45.00,+ 2.39
Texmaco Rail & Engin,A,54.99,56.30,+ 2.38
Lohia Securities Ltd,X,197.30,202.00,+ 2.38
Geojit Financial,B,43.66,44.70,+ 2.38
Steel ExchangeIndia,A,16.02,16.40,+ 2.37
Capital Trust Lt,B,67.21,68.80,+ 2.37
Compucom Softwr,B,17.77,18.19,+ 2.36
Tinna Rubber and Inf,X,476.70,487.90,+ 2.35
Aplab,XT,31.50,32.24,+ 2.35
Wim Plast Ltd,X,444.80,455.25,+ 2.35
Acrow India,X,901.50,922.65,+ 2.35
Jayshree Chem.,X,6.80,6.96,+ 2.35
Shankara Building Pr,B,648.35,663.50,+ 2.34
Rasandik Engg.,X,77.19,78.99,+ 2.33
ACC,A,"1,749.95","1,790.75",+ 2.33
Mehai Technology,T,21.49,21.99,+ 2.33
Rain Industries,A,150.10,153.60,+ 2.33
India Cements Capita,X,9.00,9.21,+ 2.33
Eiko Lifesciences,X,76.24,78.01,+ 2.32
Glance Finance L,X,52.53,53.75,+ 2.32
Lykis L,XT,76.73,78.50,+ 2.31
Innovators Facade Sy,M,76.25,78.00,+ 2.30
Hitech Corporation,B,177.90,182.00,+ 2.30
Adani Total Gas,A,836.10,855.35,+ 2.30
Veejay Lakshmi E,X,35.68,36.50,+ 2.30
NDTV,B,179.40,183.50,+ 2.29
Godrej Industries Lt,A,466.15,476.80,+ 2.28
Steel Cast,B,507.35,518.85,+ 2.27
Rishiroop L,X,102.40,104.72,+ 2.27
NIBE,X,352.00,359.95,+ 2.26
Welcast Steels,X,707.50,723.50,+ 2.26
Coffee Day Enterpris,A,33.15,33.90,+ 2.26
Bata India,A,"1,497.20","1,531.00",+ 2.26
Karma Energy,T,33.25,34.00,+ 2.26
Banswara Syntex,B,158.00,161.55,+ 2.25
Garment Mantra Life,B,4.45,4.55,+ 2.25
Indo Euro Indchem,XT,28.45,29.09,+ 2.25
MarathonNextgenRea,B,285.00,291.40,+ 2.25
Akzo Nobel India,A,"2,413.15","2,467.30",+ 2.24
Jyothy Labs,A,202.95,207.50,+ 2.24
Steel Strips Infrast,X,21.91,22.40,+ 2.24
Swelect Energy Syste,B,345.15,352.85,+ 2.23
ISL Consulting,X,24.20,24.74,+ 2.23
Ambica Agarbathi,B,24.66,25.21,+ 2.23
Bhatia Colour Chem,M,45.00,46.00,+ 2.22
MPS Infotecnics,B,0.45,0.46,+ 2.22
Modern Insulator,XT,43.97,44.94,+ 2.21
Fusion Micro Finance,B,430.25,439.75,+ 2.21
Kothari Ferment.,X,47.05,48.09,+ 2.21
Indian Infotech,X,1.36,1.39,+ 2.21
Kothari Products,B,113.80,116.30,+ 2.20
Betex India Ltd.,X,63.99,65.39,+ 2.19
Mercantile Ventures,X,17.41,17.79,+ 2.18
Shivagrico Imple,XT,20.78,21.23,+ 2.17
eMudhra,B,332.20,339.40,+ 2.17
Dhunseri Investments,B,665.30,679.75,+ 2.17
Texmo Pipes & Produc,B,57.59,58.84,+ 2.17
Hindustan Aeronautic,A,"2,954.50","3,018.40",+ 2.16
KCP Ltd.,B,102.00,104.20,+ 2.16
AGI Infra Ltd.,X,538.35,550.00,+ 2.16
Dhampure Specialty S,XT,78.60,80.30,+ 2.16
Pidilite Inds.,A,"2,508.95","2,563.00",+ 2.15
Everest Kanto Cylind,A,94.83,96.87,+ 2.15
Gilada Finance &,X,12.14,12.40,+ 2.14
Patel Integrated Log,B,13.06,13.34,+ 2.14
Delta Industrial Res,X,24.38,24.90,+ 2.13
Rashtriya Chemicals,A,105.50,107.75,+ 2.13
Labelkraft Technolog,M,55.81,57.00,+ 2.13
York Exports Lim,XT,47.00,48.00,+ 2.13
Hikal Ltd.,A,294.00,300.20,+ 2.11
Visco Trade Associat,XT,80.20,81.89,+ 2.11
PNB Housing Finance,A,463.45,473.25,+ 2.11
MTNL,B,19.40,19.81,+ 2.11
Indo Tech Transforme,B,201.00,205.25,+ 2.11
T T Ltd.,B,77.17,78.80,+ 2.11
Sanjivani parant,X,55.83,57.00,+ 2.10
Virtuoso Optoelectro,M,221.35,226.00,+ 2.10
KD Leisures,XT,11.90,12.15,+ 2.10
D-Link (India),B,242.45,247.55,+ 2.10
NMS Resources Global,XT,27.08,27.65,+ 2.10
ObjectOne Inform,X,17.19,17.55,+ 2.09
Jauss Polymers L,X,4.31,4.40,+ 2.09
Ahluwalia Contra,B,567.20,579.05,+ 2.09
Dynacons Systems,B,370.40,378.10,+ 2.08
Strides Pharma Scien,A,356.55,363.95,+ 2.08
Kobo Biotech,Z,2.40,2.45,+ 2.08
Honeywell Automation,A,"36,687.60","37,450.00",+ 2.08
Amara Raja Batt.,A,616.05,628.85,+ 2.08
Softrak Venture Inv,XT,6.25,6.38,+ 2.08
Precision Wires,B,72.48,73.98,+ 2.07
Godrej Consumer Prod,A,962.60,982.55,+ 2.07
Spencer's Retail,B,60.88,62.14,+ 2.07
MSR India,X,7.25,7.40,+ 2.07
Arfin India,X,22.83,23.30,+ 2.06
Havells India,A,"1,256.40","1,282.05",+ 2.04
Nouveau Global Vent.,X,0.49,0.50,+ 2.04
Emmessar Biotech,X,23.52,24.00,+ 2.04
Scanpoint Geomatics,X,9.80,10.00,+ 2.04
Trent Ltd.,A,"1,440.85","1,470.20",+ 2.04
C.E. Info Systems,A,"1,072.15","1,093.90",+ 2.03
Lupin Ltd.,A,749.75,765.00,+ 2.03
HIM Teknoforge,X,83.31,85.00,+ 2.03
Shiva Cement Ltd,B,47.19,48.15,+ 2.03
Veto Switchgears & C,B,94.10,96.00,+ 2.02
Orient Cement Ltd.,A,126.05,128.60,+ 2.02
SMIFS Capital Ma,X,40.18,40.99,+ 2.02
Sejal Glass,T,245.00,249.95,+ 2.02
Beardsell Ltd.,B,23.30,23.77,+ 2.02
Continental Petr,XT,49.00,49.99,+ 2.02
Bhaskar Agrochemical,XT,66.64,67.98,+ 2.01
WSFx Global Pay,X,31.27,31.90,+ 2.01
Eureka Forbes,A,368.40,375.80,+ 2.01
3i Infotech,B,32.05,32.69,+ 2.00
Shreyas Shipping & L,B,319.45,325.85,+ 2.00
Sulabh Eng.&Ser.,X,3.50,3.57,+ 2.00
Master Trust Ltd.,X,134.80,137.50,+ 2.00
Kintech Renewables L,XT,989.60,"1,009.35",+ 2.00
Raj Rayon Industries,T,50.79,51.80,+ 1.99
Hariom Pipe Industri,B,544.40,555.25,+ 1.99
Cera Sanitaryware L,A,"6,712.30","6,845.85",+ 1.99
Vikas Ecotech L,B,3.02,3.08,+ 1.99
Hasti Finance Li,X,4.53,4.62,+ 1.99
Autoline Industries,B,70.79,72.20,+ 1.99
Veritas (India) Ltd.,XT,141.00,143.80,+ 1.99
Seya Industries,T,22.15,22.59,+ 1.99
Crest Ventures,B,172.10,175.50,+ 1.98
Eureka Industries,X,5.05,5.15,+ 1.98
Sancode Technologies,MT,78.21,79.75,+ 1.97
Patron Exim,M,8.12,8.28,+ 1.97
Amines & Plast.,X,80.09,81.67,+ 1.97
Alliance Integrated,XT,28.93,29.50,+ 1.97
Krsnaa Diagnostics,B,505.05,515.00,+ 1.97
Rainbow Childrens,B,807.15,823.00,+ 1.96
Fairchem Organics,B,"1,212.35","1,236.15",+ 1.96
Newgen Software Tech,A,561.95,572.95,+ 1.96
Samtex Fashions,X,2.05,2.09,+ 1.95
Mahamaya Steel Indus,B,60.62,61.80,+ 1.95
Advance Syntex,B,7.70,7.85,+ 1.95
Link Pharma Chem,X,39.51,40.28,+ 1.95
Best Eastern Hot,X,46.88,47.79,+ 1.94
Sofcom Systems,X,51.01,52.00,+ 1.94
Colorchips New Media,XT,7.74,7.89,+ 1.94
MSTC,A,300.70,306.50,+ 1.93
PetronetLNG,A,228.10,232.50,+ 1.93
ITL Industries,X,200.15,204.00,+ 1.92
Welspun Corp,A,224.50,228.80,+ 1.92
Golkunda Diamond,X,106.95,109.00,+ 1.92
Diligent Media Corp,B,2.61,2.66,+ 1.92
Adani Power Ltd.,A,238.10,242.65,+ 1.91
Au Small Finance Ban,A,692.95,706.20,+ 1.91
Nagreeka Capital & I,B,19.97,20.35,+ 1.90
NDR Auto Components,B,591.50,602.65,+ 1.89
Hind. Oil Explor,A,163.85,166.95,+ 1.89
TV Today Network Ltd,B,204.20,208.05,+ 1.89
Dishman Carbogen Amc,A,124.15,126.50,+ 1.89
Jagan Lamps,X,59.77,60.90,+ 1.89
Stanrose Mafatla,X,80.00,81.50,+ 1.88
East West Holdings,X,4.26,4.34,+ 1.88
Saras.Commercial,X,"2,650.00","2,699.75",+ 1.88
Mercury Laboratories,X,575.05,585.80,+ 1.87
State Trading,B,74.75,76.15,+ 1.87
RDB Realty & Infrast,X,40.20,40.95,+ 1.87
Esaar (India) Li,X,5.89,6.00,+ 1.87
Emkay Global Financi,B,72.64,74.00,+ 1.87
Superhouse,B,245.35,249.95,+ 1.87
Sarvottam Finvest,XT,33.82,34.45,+ 1.86
Ador Multiproduc,X,56.34,57.39,+ 1.86
Bajaj Healthcare,B,325.20,331.25,+ 1.86
Marble City India,X,13.45,13.70,+ 1.86
Ravileela Granites,X,35.35,36.00,+ 1.84
SAL Automotive,X,271.55,276.55,+ 1.84
Artemis Medicare,B,79.89,81.36,+ 1.84
IL&FS Engineering,Z,11.95,12.17,+ 1.84
Carborundum Uni.,A,"1,114.90","1,135.45",+ 1.84
KRBL Ltd.,A,386.90,394.00,+ 1.84
Manali Petrochem,A,73.06,74.40,+ 1.83
Kaira Can Co.,X,"2,617.10","2,665.00",+ 1.83
Gopal Iron & Steels,XT,7.66,7.80,+ 1.83
Dynemic Products,B,307.55,313.15,+ 1.82
LT Foods Ltd.,A,106.85,108.80,+ 1.82
MMTC Ltd.,A,30.20,30.75,+ 1.82
Central Bank,A,26.89,27.38,+ 1.82
KFIN Technologies,B,309.55,315.15,+ 1.81
Raj Oil Mills Ltd.,B,41.19,41.93,+ 1.80
Future Market Net,B,4.99,5.08,+ 1.80
Fraser & Company,X,5.57,5.67,+ 1.80
Shri Keshav Cements,X,168.00,171.00,+ 1.79
Prakash Wool.& Syn.,X,22.95,23.36,+ 1.79
Vinyoflex,XT,71.70,72.98,+ 1.79
Silver Touch Technol,B,352.20,358.50,+ 1.79
California Softw,B,15.62,15.90,+ 1.79
Barbeque-Nation Hosp,A,596.70,607.30,+ 1.78
Bharat Agri Fert & R,X,118.35,120.45,+ 1.77
Gujarat Apollo Indus,B,195.15,198.60,+ 1.77
Ruttonsha Intl.,X,393.05,400.00,+ 1.77
Super Tex Indust,X,10.76,10.95,+ 1.77
Bliss GVS Pharma,B,82.18,83.63,+ 1.76
Optimus Finance,X,83.53,85.00,+ 1.76
Control Print Ltd.,B,599.80,610.30,+ 1.75
Bella Casa Fashion &,B,123.05,125.20,+ 1.75
Rane Engine Valve Lt,B,280.15,285.05,+ 1.75
Adcon Capital Servic,X,1.72,1.75,+ 1.74
Onward Technolog,B,345.00,351.00,+ 1.74
Infibeam Avenues,A,13.79,14.03,+ 1.74
Shish Industries,B,318.45,324.00,+ 1.74
Ajanta Soya Ltd.,X,29.28,29.79,+ 1.74
Setco Automotive,B,6.88,7.00,+ 1.74
Panchmahal Steel,X,137.90,140.30,+ 1.74
HFCL,A,66.61,67.77,+ 1.74
NLC India L,A,83.15,84.60,+ 1.74
Glenmark Pharma,A,570.15,580.00,+ 1.73
Anjani Foods,XT,22.51,22.90,+ 1.73
Chaman Lal Setia,B,190.40,193.70,+ 1.73
Lakshmi Machines,A,"11,119.55","11,311.50",+ 1.73
Marico Ltd.,A,532.80,542.00,+ 1.73
Foseco India Lim,B,"2,546.35","2,590.40",+ 1.73
Raymond Ltd,A,"1,556.75","1,583.70",+ 1.73
ADF Foods Ltd.,B,830.60,845.00,+ 1.73
Precision Elect.,XT,32.00,32.55,+ 1.72
Garnet International,X,58.00,59.00,+ 1.72
Deccan Cements,B,454.20,462.00,+ 1.72
Rishi Laser Ltd.,XT,27.99,28.47,+ 1.71
Godavari Drugs,X,77.08,78.40,+ 1.71
Time Technoplast Ltd,A,80.86,82.24,+ 1.71
Pitti Engineering,B,351.10,357.10,+ 1.71
Bhilwara Technical,X,15.91,16.18,+ 1.70
M M Forgings Ltd.,B,879.15,894.00,+ 1.69
Berger Paints I,A,627.90,638.50,+ 1.69
Thakker's Develo,X,138.65,141.00,+ 1.69
Madras Fertilize,B,72.03,73.25,+ 1.69
SSPDL Ltd.,X,14.75,15.00,+ 1.69
Max Financial Servic,A,663.45,674.60,+ 1.68
Jenburkt Pharmac,X,744.50,757.00,+ 1.68
Bhansali Engg.Po,A,121.85,123.90,+ 1.68
Rupa & Company L,A,253.35,257.60,+ 1.68
Norben Tea & Exp,B,8.31,8.45,+ 1.68
Ramco Industries,B,128.60,130.75,+ 1.67
Morarka Finance,X,114.10,116.00,+ 1.67
Atharv Enterprises,X,2.41,2.45,+ 1.66
Mini Diamonds,XT,19.87,20.20,+ 1.66
Advanced Enzyme Tech,A,268.75,273.20,+ 1.66
Automotive Stampings,B,322.80,328.15,+ 1.66
ACCEL L,X,13.28,13.50,+ 1.66
DB Corp,B,118.50,120.45,+ 1.65
BMW Industries,X,30.30,30.80,+ 1.65
Alphageo (India),B,253.80,258.00,+ 1.65
Standard Indust,T,29.13,29.61,+ 1.65
General Ins. Corp.,A,173.05,175.90,+ 1.65
Dynamatic Techno,B,"3,130.50","3,182.00",+ 1.65
Reliance Home Fin,B,3.05,3.10,+ 1.64
Kellton Tech Solutio,B,61.14,62.14,+ 1.64
SBC Exports,B,20.70,21.04,+ 1.64
Talbros Auto.,B,483.10,491.00,+ 1.64
Tube Investments,A,"2,725.30","2,770.00",+ 1.64
IFB Industries,A,816.00,829.40,+ 1.64
Nahar Spg Mills,B,272.55,277.00,+ 1.63
Simplex Castings,XT,38.03,38.65,+ 1.63
Kamdhenu Ventures,B,239.60,243.50,+ 1.63
Regency Trust Lt,X,2.45,2.49,+ 1.63
BFL Asset Finvest,X,15.35,15.60,+ 1.63
NAVA L,A,223.35,227.00,+ 1.63
Mitshi India L,XT,14.10,14.33,+ 1.63
JMD Ventures L,X,22.75,23.12,+ 1.63
Supriya Lifescience,A,219.35,222.90,+ 1.62
BDH Industries,X,130.00,132.10,+ 1.62
Kings Infra Ventures,X,108.25,110.00,+ 1.62
IL&FS Transportation,Z,3.09,3.14,+ 1.62
Hindustan Media Vent,B,52.11,52.95,+ 1.61
Sula Vineyards,B,431.05,438.00,+ 1.61
Cupid Ltd.,B,262.75,266.95,+ 1.60
Monarch Networth Cap,B,209.85,213.20,+ 1.60
Waaree Renewable Tec,X,965.55,981.00,+ 1.60
Shree Ganesh Remedie,B,294.25,298.95,+ 1.60
Shree Cement,A,"24,460.20","24,851.45",+ 1.60
Virat Industries,X,223.40,226.95,+ 1.59
Banaras Beads Li,B,81.21,82.50,+ 1.59
Likhitha Infrastruct,B,296.30,301.00,+ 1.59
Adani Wilmar,A,388.95,395.15,+ 1.59
KPI Green Energy,B,477.40,485.00,+ 1.59
HP Adhesives,B,400.15,406.50,+ 1.59
Suven Life Sciences,B,58.18,59.10,+ 1.58
Ramasigns Industries,X,3.16,3.21,+ 1.58
Oriental Carbon,B,756.05,768.00,+ 1.58
Trigyn Technolog,B,98.83,100.39,+ 1.58
Skipper Ltd.,B,124.55,126.50,+ 1.57
Fineotex Chemical Lt,A,254.75,258.75,+ 1.57
Kalyan Jewellers Ind,A,104.80,106.45,+ 1.57
Zee Media Corp,B,8.92,9.06,+ 1.57
RHI Magnesita India,A,661.40,671.70,+ 1.56
South Indian Ban,A,16.09,16.34,+ 1.55
Shree Digvijay,B,74.67,75.82,+ 1.54
DJ Mediaprint & Logi,B,143.20,145.40,+ 1.54
Zensar Technologies,A,304.30,309.00,+ 1.54
Hisar Metal Indu,B,139.80,141.95,+ 1.54
Confidence Petroleum,B,58.33,59.23,+ 1.54
MOIL,A,156.95,159.35,+ 1.53
HPL Electric & Power,B,93.51,94.94,+ 1.53
Oracle Financial Ser,A,"3,493.10","3,546.40",+ 1.53
Intellect Design,A,458.85,465.85,+ 1.53
SI Capital & Fin,XT,29.55,30.00,+ 1.52
Rossari Biotech,A,692.05,702.55,+ 1.52
Kokuyo Camlin,B,76.54,77.70,+ 1.52
Kalyani Investment,B,"1,726.00","1,752.25",+ 1.52
IFB Agro Indus,B,480.70,488.00,+ 1.52
Colgate Palm.,A,"1,603.60","1,628.00",+ 1.52
Cranes Software Int.,X,2.63,2.67,+ 1.52
Ortin Laborator.,B,19.70,20.00,+ 1.52
Gallantt Ispat,B,53.18,53.99,+ 1.52
Karur Vysya Bank,B,95.20,96.64,+ 1.51
Piramal Pharma,B,75.87,77.01,+ 1.50
Piccadily Sugar,X,16.63,16.88,+ 1.50
Caprihans India,X,107.00,108.60,+ 1.50
Navkar Corporation L,B,57.24,58.10,+ 1.50
DHP India Ltd.,X,962.65,977.00,+ 1.49
Rajesh Exports L,A,601.05,610.00,+ 1.49
Nahar Capital & Fina,B,278.75,282.90,+ 1.49
Bodal Chemicals,B,67.99,69.00,+ 1.49
Jindal Stainless,A,292.75,297.10,+ 1.49
Bharat Dynamics,A,"1,006.95","1,022.00",+ 1.49
Gayatri BioOrganics,XT,8.72,8.85,+ 1.49
GHCL,A,495.30,502.65,+ 1.48
